,nest,year,species,field.hab,nest.veg,lat,long,visit,initiation,robel.found,robel.found.date,robel.fate,robel.fate.date,FirstFound,LastPresent,LastChecked,Fate,Freq
74,A17,2016,MALL,grass,grass,48.16124,-102.10127,t,122,10.5,129,9,140,129,134,140,1,1
75,A170,2016,MALL,grass,grass,48.38562,-101.95864,t,150,17.5,157,16,162,157,157,162,1,1
76,A171,2016,BWTE,grass,grass,48.38527,-101.95867,t,144,15.5,157,15.5,184,157,177,177,0,1
77,A172,2016,MALL,grass,grass,48.38676,-101.95758,t,135,23,157,18.5,162,157,157,162,1,1
78,A173,2016,GADW,grass,grass,48.38592,-101.95755,t,147,16,157,13.5,162,157,157,162,1,1
79,A174,2016,MALL,grass,grass,48.38615,-101.95718,t,148,18,157,17,162,157,157,162,1,1
80,A175,2016,BWTE,grass,grass,48.38677,-101.95558,t,146,18,157,18.5,176,157,170,176,1,1
81,A176,2016,BWTE,grass,grass,48.38691,-101.95528,t,144,15.3,157,10.7,162,157,157,162,1,1
82,A177,2016,MALL,grass,low.shrub,48.38483,-101.95408,t,145,29,157,21.5,184,157,177,177,0,1
83,A178,2016,MALL,grass,low.shrub,48.38545,-101.95393,t,146,26.5,157,25.5,162,157,157,162,1,1
84,A179,2016,GADW,grass,grass,48.38656,-101.95391,t,144,18,157,17,176,157,170,176,1,1
85,A18,2016,MALL,grass,grass,48.37927,-101.96265,t,122,9.5,129,13,150,129,144,150,1,1
86,A180,2016,GADW,grass,grass,48.38496,-101.95388,t,147,24.5,157,31,170,157,162,170,1,1
87,A181,2016,GADW,grass,grass,48.38883,-101.96131,t,146,12.5,157,13,162,157,157,162,1,1
88,A182,2016,BWTE,grass,grass,48.3409,-102.20766,t,134,9.5,158,8,165,158,165,165,0,1
89,A183,2016,BWTE,grass,grass,48.34109,-102.21046,t,147,9,158,7,165,158,158,165,1,1
90,A184,2016,NOPI,grass,grass,48.34109,-102.21166,t,150,6.5,158,5,188,158,181,181,0,1
91,A185,2016,NSHO,grass,grass,48.34065,-102.20863,t,143,10,158,8,172,158,165,172,1,1
92,A186,2016,MALL,grass,grass,48.34032,-102.20464,t,143,11.5,158,11.5,165,158,158,165,1,1
93,A187,2016,GADW,grass,grass,48.33985,-102.21066,t,146,15.5,158,15,172,158,165,172,1,1
94,A190,2016,GADW,grass,grass,48.33849,-102.21236,t,146,14,158,14,172,158,165,172,1,1
95,A191,2016,NSHO,grass,grass,48.4874,-102.16486,t,158,13.5,159,18,183,159,176,183,1,1
96,A192,2016,GADW,grass,grass,48.48642,-102.16278,t,148,18,159,19.5,167,159,159,167,1,1
97,A193,2016,MALL,grass,grass,48.48561,-102.16197,t,146,19.5,159,24,167,159,159,167,1,1
98,A194,2016,BWTE,grass,grass,48.48518,-102.16418,t,150,12.5,159,16,183,159,176,183,1,1
99,A195,2016,BWTE,grass,grass,48.48417,-102.1584,t,158,12,159,11,167,159,159,167,1,1
100,A196,2016,MALL,grass,grass,48.48426,-102.16574,t,143,9.5,159,10,167,159,159,167,1,1
101,A197,2016,GADW,grass,grass,48.48392,-102.16224,t,150,11.5,159,9.5,190,159,184,184,0,1
102,A198,2016,BWTE,grass,grass,48.4823,-102.16042,t,148,16,159,17,167,159,159,167,1,1
103,A199,2016,BWTE,grass,grass,48.48198,-102.16573,t,153,14,159,17,174,159,167,174,1,1
104,A20,2016,NOPI,grass,grass,48.49925,-102.15871,t,121,4.5,130,4.5,145,130,137,145,1,1
105,A200,2016,BWTE,grass,grass,48.48309,-102.16669,t,147,14.5,159,20,183,159,178,178,0,1
106,A201,2016,AGWT,grass,grass,48.49429,-102.15952,t,131,12,159,13.5,167,159,164,164,0,1
107,A202,2016,NOPI,grass,low.shrub,48.49919,-102.15836,t,152,11.5,159,15.5,183,159,182,182,0,1
108,A203,2016,BWTE,grass,grass,48.25438,-101.85062,t,144,10.5,160,11,169,160,160,169,1,1
109,A205,2016,NOPI,grass,grass,48.25286,-101.8516,t,152,13,160,12.5,169,160,160,169,1,1
110,A206,2016,MALL,grass,grass,48.25018,-101.84977,t,151,18,160,16,180,160,169,180,1,1
111,A207,2016,GADW,grass,grass,48.25019,-101.8537,t,152,18.5,160,15.5,169,160,160,169,1,1
112,A208,2016,BWTE,grass,grass,48.24965,-101.85624,t,145,10.5,160,9.5,180,160,174,174,0,1
113,A209,2016,BWTE,grass,grass,48.35846,-101.98689,t,153,12,160,13.5,169,160,160,169,1,1
114,A210,2016,GADW,grass,grass,48.25801,-102.25101,t,153,18.5,161,21,192,161,186,186,0,1
115,A211,2016,GADW,grass,grass,48.25698,-102.24684,t,152,13,161,16.5,192,161,185,185,0,1
116,A212,2016,MALL,grass,grass,48.25677,-102.24931,t,149,14.5,161,17.5,170,161,161,170,1,1
117,A213,2016,MALL,grass,grass,48.25578,-102.25204,t,147,15.5,161,22.5,170,161,161,170,1,1
118,A214,2016,MALL,grass,grass,48.25561,-102.24791,t,145,15.5,161,18,170,161,161,170,1,1
119,A216,2016,BWTE,grass,grass,48.25548,-102.24784,t,147,13,161,13.5,178,161,170,178,1,1
120,A217,2016,GADW,grass,grass,48.25505,-102.25201,t,152,17,161,20.5,184,161,178,184,1,1
121,A22,2016,MALL,grass,grass,48.32318,-102.15023,t,130,11,133,17,150,133,140,150,1,1
122,A220,2016,BWTE,grass,grass,48.25846,-102.25476,t,156,8.5,161,10,170,161,161,170,1,1
123,A221,2016,MALL,grass,grass,48.25901,-102.24969,t,146,20.5,161,19,178,161,170,178,1,1
124,A222,2016,MALL,grass,grass,48.25895,-102.25076,t,151,19.5,161,20.5,184,161,184,184,0,1
125,A224,2016,GADW,grass,grass,48.25887,-102.25121,t,150,21,161,16,184,161,178,184,1,1
126,A225,2016,NSHO,grass,grass,48.25888,-102.2517,t,143,16.5,161,15,170,161,161,170,1,1
127,A226,2016,MALL,grass,grass,48.25875,-102.25227,t,149,20,161,17,170,161,161,170,1,1
128,A228,2016,LESC,grass,grass,48.25901,-102.2532,t,160,19.5,161,16.5,178,161,170,178,1,1
129,A229,2016,GADW,grass,grass,48.2593,-102.25374,t,139,17,161,15,178,161,172,172,0,1
130,A23,2016,MALL,grass,grass,48.32492,-102.14983,t,113,17.5,133,21,150,133,140,150,1,1
131,A231,2016,MALL,grass,grass,48.32353,-102.15086,t,157,22,162,19.5,178,162,171,178,1,1
132,A232,2016,GADW,grass,grass,48.25956,-102.24987,t,153,20.5,162,15.5,178,162,170,178,1,1
133,A233,2016,AMWI,grass,grass,48.25983,-102.25082,t,146,22,162,18.5,170,162,162,170,1,1
134,A234,2016,BWTE,grass,grass,48.25996,-102.25089,t,148,17,162,18,170,162,162,170,1,1
135,A235,2016,BWTE,grass,grass,48.26034,-102.25108,t,151,18,162,17,178,162,170,178,1,1
136,A236,2016,BWTE,grass,grass,48.26083,-102.25123,t,154,15.5,162,23.5,192,162,187,187,0,1
137,A237,2016,BWTE,grass,grass,48.26093,-102.2514,t,145,23,162,19.5,178,162,176,176,0,1
138,A238,2016,GADW,grass,grass,48.26094,-102.24849,t,153,20.5,162,20,184,162,182,182,0,1
139,A239,2016,GADW,grass,grass,48.38634,-101.95957,t,152,19,162,17,192,162,185,185,0,1
140,A24,2016,MALL,grass,grass,48.32636,-102.14974,t,120,14,133,16,150,133,140,150,1,1
141,A240,2016,GADW,grass,grass,48.15807,-102.10389,t,148,20.5,165,15,191,165,184,184,0,1
142,A241,2016,GADW,grass,low.shrub,48.15403,-102.10189,t,148,14,165,11.5,180,165,179,179,0,1
143,A242,2016,MALL,grass,grass,48.16127,-102.1023,t,154,16.5,165,15.5,180,165,172,180,1,1
144,A243,2016,NOPI,grass,grass,48.16185,-102.10208,t,160,17,165,17,172,165,165,172,1,1
145,A244,2016,BWTE,grass,grass,48.15998,-102.1011,t,161,13,165,13.5,191,165,183,191,1,1
146,A245,2016,AGWT,grass,grass,48.15924,-102.10056,t,161,19,165,15.5,180,165,172,180,1,1
147,A246,2016,GADW,grass,grass,48.16111,-102.10064,t,148,14,165,15,172,165,165,172,1,1
148,A247,2016,BWTE,grass,grass,48.16217,-102.10267,t,149,10.5,165,11,172,165,165,172,1,1
149,A248,2016,GADW,grass,low.shrub,48.23445,-102.54877,t,153,17,167,11,190,167,188,188,0,1
150,A249,2016,GADW,grass,low.shrub,48.23711,-102.54908,t,148,22,167,17,180,167,177,177,0,1
151,A250,2016,AGWT,grass,grass,48.23918,-102.54998,t,161,15.5,167,11.5,197,167,195,195,0,1
152,A251,2016,GADW,grass,grass,48.23759,-102.55209,t,162,17.5,167,16.5,197,167,196,196,0,1
153,A252,2016,BWTE,grass,grass,48.23523,-102.55211,t,146,18.5,167,16.5,180,167,174,174,0,1
154,A253,2016,BWTE,grass,grass,48.23505,-102.55331,t,164,10.5,167,7.5,197,167,196,196,0,1
155,A254,2016,GADW,grass,grass,48.37252,-102.25182,t,158,21,167,18.5,193,167,190,190,0,1
156,A255,2016,MALL,grass,grass,48.37266,-102.2498,t,164,22,167,20,172,167,167,172,1,1
157,A256,2016,AMWI,grass,grass,48.37202,-102.24989,t,160,14,167,11.3,180,167,172,180,1,1
158,A257,2016,LESC,grass,grass,48.37223,-102.25408,t,153,14,167,14.5,188,167,180,188,1,1
159,A258,2016,MALL,grass,low.shrub,48.36755,-102.25128,t,160,18.5,167,18,188,167,180,188,1,1
160,A259,2016,BWTE,grass,grass,48.36962,-102.24873,t,160,13.5,167,15.5,180,167,172,180,1,1
161,A26,2016,MALL,grass,grass,48.32683,-102.14975,t,127,17,133,17.5,150,133,140,150,1,1
162,A260,2016,GADW,grass,low.shrub,48.36749,-102.24881,t,153,21,167,21,180,167,172,180,1,1
163,A261,2016,NSHO,grass,grass,48.09815,102.39846,t,150,17,168,11,182,168,180,180,0,1
164,A262,2016,MALL,grass,grass,48.09909,-102.39833,t,161,24,168,27.5,174,168,168,174,1,1
165,A263,2016,MALL,grass,grass,48.0992,-102.39851,t,146,25.5,168,31.5,174,168,168,174,1,1
166,A264,2016,MALL,grass,grass,48.0959,-102.3994,t,164,23.5,168,24.5,174,168,168,174,1,1
167,A265,2016,GADW,grass,low.shrub,48.10022,-102.39804,t,158,25.5,168,20,174,168,168,174,1,1
168,A266,2016,GADW,grass,grass,48.10028,-102.39758,t,146,23,168,22.5,174,168,168,174,1,1
169,A267,2016,GADW,grass,grass,48.10242,-102.3994,t,159,13.5,168,13,182,168,174,182,1,1
170,A268,2016,NSHO,grass,grass,48.09597,-102.40112,t,139,9.5,168,8.5,182,168,175,175,0,1
171,A269,2016,GADW,grass,grass,48.09643,-102.40078,t,162,18,168,13,182,168,174,182,1,1
172,A27,2016,MALL,grass,grass,48.32691,-102.15036,t,115,10,133,13.5,150,133,140,150,1,1
173,A270,2016,GADW,grass,grass,48.10102,-102.4036,t,148,31.5,168,30,189,168,183,183,0,1
174,A271,2016,BWTE,grass,grass,48.25464,-101.85167,t,157,10,169,11.5,180,169,169,180,1,1
175,A273,2016,BWTE,grass,grass,48.09832,-102.40527,t,163,17,170,14.5,195,170,192,192,0,1
176,A274,2016,GADW,grass,grass,48.0995,-102.4075,t,162,21,170,27.5,195,170,195,195,0,1
177,A276,2016,BWTE,grass,tall.shrub,48.09711,-102.40589,t,160,26.5,170,25.5,182,170,174,182,1,1
178,A277,2016,LESC,grass,grass,48.09695,-102.40588,t,158,18.5,170,8.5,195,170,195,195,0,1
179,A278,2016,GADW,grass,grass,48.09578,-102.39874,t,147,22,170,20.5,174,170,170,174,1,1
180,A28,2016,MALL,grass,grass,48.324,-102.15096,t,129,20,133,21,171,133,165,165,0,1
181,A280,2016,LESC,grass,grass,48.32137,-102.15021,t,160,13,171,13,197,171,196,196,0,1
182,A281,2016,LESC,grass,grass,48.32152,-102.15073,t,162,16,171,11.5,193,171,192,192,0,1
183,A282,2016,LESC,grass,grass,48.32256,-102.15043,t,163,18,171,15.5,193,171,185,193,1,1
184,A283,2016,NOPI,grass,grass,48.32281,-102.15047,t,147,24.5,171,20,185,171,179,179,0,1
185,A284,2016,MALL,grass,grass,48.32336,-102.15008,t,150,21,171,20,185,171,182,182,0,1
186,A285,2016,MALL,grass,grass,48.32386,-102.15012,t,147,25,171,22.5,185,171,180,180,0,1
187,A286,2016,MALL,grass,grass,48.32441,-102.14998,t,165,21.5,171,23,185,171,178,185,1,1
188,A287,2016,AMWI,grass,grass,48.3246,-102.15034,t,160,22.5,171,22,193,171,186,186,0,1
189,A288,2016,NSHO,grass,grass,48.32464,-102.15018,t,145,17,171,14.5,178,171,175,175,0,1
190,A289,2016,AMWI,grass,grass,48.32515,-102.15029,t,160,17.5,171,19.5,193,171,185,193,1,1
191,A290,2016,MALL,grass,grass,48.32582,-102.14967,t,159,25.5,171,22,193,171,187,187,0,1
192,A291,2016,MALL,grass,grass,48.32615,-102.14979,t,159,22.5,171,20.5,193,171,186,186,0,1
193,A292,2016,AMWI,grass,grass,48.32646,-102.1497,t,161,21,171,17,193,171,193,193,0,1
194,A293,2016,GADW,grass,grass,48.32663,-102.15013,t,156,26,171,20.5,193,171,186,186,0,1
195,A294,2016,AMWI,grass,grass,48.32715,-102.1497,t,165,19.5,171,22,193,171,185,193,1,1
196,A295,2016,GADW,grass,grass,48.32499,-102.15051,t,165,22.5,171,18,204,171,198,198,0,1
197,A296,2016,GADW,grass,grass,48.32434,-102.15103,t,148,25,171,24.5,178,171,180,180,0,1
198,A297,2016,GADW,grass,grass,48.3242,-102.15607,t,155,23.5,171,24,185,171,178,185,1,1
199,A298,2016,MALL,grass,grass,48.32396,-102.1511,t,161,24,171,19.5,193,171,192,192,0,1
200,A299,2016,LESC,grass,grass,48.32386,-102.15113,t,146,24.5,171,22,185,171,178,185,1,1
201,A30,2016,NOPI,grass,grass,48.32347,-102.15118,t,127,18.5,133,21,162,133,157,157,0,1
202,A300,2016,MALL,grass,grass,48.32335,-102.15102,t,166,22,171,16.5,193,171,185,193,1,1
203,A301,2016,GADW,grass,grass,48.32275,-102.15127,t,144,21.5,171,18,178,171,178,178,0,1
204,A302,2016,MALL,grass,grass,48.32139,-102.15128,t,153,18,171,18.5,186,171,184,184,0,1
205,A303,2016,MALL,grass,grass,48.321,-102.15105,t,161,21,171,13.5,193,171,185,193,1,1
206,A304,2016,GADW,grass,grass,48.32102,-102.15092,t,151,23.5,171,23.5,185,171,183,183,0,1
207,A305,2016,AMWI,grass,grass,48.31994,-102.15077,t,163,12.5,171,16,197,171,197,197,0,1
208,A306,2016,AMWI,grass,grass,48.32015,-102.15154,t,160,17.5,171,14,193,171,188,188,0,1
209,A307,2016,MALL,grass,grass,48.32222,-102.15175,t,160,19.5,171,15.5,193,171,192,192,0,1
210,A308,2016,GADW,grass,grass,48.32423,-102.15132,t,160,23,171,20,193,171,187,187,0,1
211,A309,2016,MALL,grass,grass,48.32454,-102.15133,t,152,25.5,171,21,178,171,171,178,1,1
212,A31,2016,MALL,grass,grass,48.32263,-102.15105,t,127,13.5,133,19,162,133,160,160,0,1
213,A310,2016,MALL,grass,grass,48.32513,-102.15123,t,159,20.5,171,17,193,171,185,193,1,1
214,A311,2016,AMWI,grass,grass,48.32637,-102.15112,t,162,25,171,16,204,171,198,198,0,1
215,A312,2016,GADW,grass,grass,48.32671,-102.15115,t,158,19.5,171,20,193,171,187,187,0,1
216,A313,2016,BWTE,grass,grass,48.32675,-102.15141,t,164,17.5,171,15.5,193,171,186,193,1,1
217,A314,2016,GADW,grass,grass,48.32697,-102.15121,t,157,19.5,171,16,193,171,187,187,0,1
218,A317,2016,LESC,grass,grass,48.32205,-102.15208,t,163,16.5,171,10.5,193,171,186,193,1,1
219,A318,2016,MALL,grass,grass,48.32112,-102.15223,t,157,23.5,171,26.5,186,171,178,186,1,1
220,A319,2016,GADW,grass,grass,48.32151,-102.15269,t,144,23,171,24,178,171,178,178,0,1
221,A32,2016,MALL,grass,grass,48.32636,-102.15215,t,128,12.5,133,20,162,133,162,162,0,1
222,A320,2016,NOPI,grass,grass,48.32215,-102.15281,t,150,20.5,171,17,186,171,179,179,0,1
223,A321,2016,GADW,grass,grass,48.32299,-102.15266,t,151,21,171,18.5,186,171,185,185,0,1
224,A322,2016,MALL,grass,grass,48.32393,-102.15265,t,138,21.5,171,22,178,171,178,178,0,1
225,A323,2016,MALL,grass,grass,48.32142,-102.15314,t,144,22.5,172,20.5,178,172,177,177,0,1
226,A324,2016,AMWI,grass,grass,48.32302,-102.1527,t,160,21.5,172,17,193,172,190,190,0,1
227,A325,2016,GADW,grass,grass,48.32432,-102.15279,t,155,21.5,172,17.5,186,172,183,183,0,1
228,A326,2016,AMWI,grass,grass,48.32598,-102.15282,t,151,22,172,20,186,172,184,184,0,1
229,A327,2016,MALL,grass,grass,48.32611,-102.15249,t,147,19.5,172,19,178,172,172,178,1,1
230,A328,2016,MALL,grass,grass,48.32614,-102.15263,t,167,21.5,172,18.5,197,172,193,197,1,1
231,A329,2016,AMWI,grass,grass,48.32693,-102.15361,t,157,16.5,172,13.5,193,172,187,187,0,1
232,A33,2016,MALL,grass,grass,48.321,-102.15244,t,128,17.5,133,19,150,133,140,150,1,1
233,A330,2016,GADW,grass,grass,48.32502,-102.15331,t,161,21.5,171,16.5,193,171,193,193,0,1
234,A332,2016,GADW,grass,grass,48.32443,-102.15367,t,159,20,172,20.5,179,172,172,179,1,1
235,A333,2016,GADW,grass,grass,48.32439,-102.15365,t,160,19.5,172,22.5,179,172,172,179,1,1
236,A334,2016,GADW,grass,grass,48.32155,-102.15354,t,163,21,172,18,186,172,178,186,1,1
237,A335,2016,AMWI,grass,grass,48.32129,-102.1539,t,162,27.5,172,21,197,172,194,194,0,1
238,A336,2016,GADW,grass,grass,48.32091,-102.15329,t,151,21.5,171,15,193,171,187,187,0,1
239,A337,2016,LESC,grass,grass,48.32095,-102.1534,t,153,18,172,15,186,172,178,186,1,1
240,A339,2016,GADW,grass,grass,48.32383,-102.15388,t,152,19,172,15.5,179,172,178,178,0,1
241,A340,2016,GADW,grass,grass,48.32407,-102.15429,t,155,23,172,16,186,172,185,185,0,1
242,A341,2016,MALL,grass,grass,48.32468,-102.15391,t,150,22,172,21.5,186,172,181,181,0,1
243,A342,2016,GADW,grass,grass,48.32555,-102.15404,t,161,21.5,172,17.5,197,172,194,194,0,1
244,A343,2016,GADW,grass,grass,48.326,-102.15404,t,160,27,172,24,197,172,194,194,0,1
245,A344,2016,AMWI,grass,grass,48.32665,-102.15367,t,156,23.5,172,19.5,193,172,190,190,0,1
246,A345,2016,MALL,grass,grass,48.32615,-102.15472,t,155,30,172,23,193,172,187,187,0,1
247,A346,2016,LESC,grass,grass,48.32618,-102.15432,t,161,22,172,17,204,172,198,198,0,1
248,A347,2016,GADW,grass,grass,48.32581,-102.15462,t,152,17.5,172,17.5,186,172,186,186,0,1
249,A348,2016,GADW,grass,grass,48.32562,-102.15472,t,162,26,172,17.5,197,172,194,194,0,1
250,A349,2016,AMWI,grass,grass,48.3245,-102.15466,t,157,21.5,172,16.5,186,172,179,186,1,1
251,A350,2016,GADW,grass,grass,48.3245,-102.15467,t,148,18.5,172,15.5,186,172,179,186,1,1
252,A351,2016,GADW,grass,grass,48.32381,-102.15457,t,161,22.5,172,19.5,179,172,172,179,1,1
253,A352,2016,MALL,grass,grass,48.32155,-102.15483,t,143,22.5,172,20.5,186,172,180,180,0,1
254,A353,2016,GADW,grass,grass,48.32077,-102.15511,t,162,18,172,16.5,186,172,179,186,1,1
255,A354,2016,GADW,grass,grass,48.32343,-102.15521,t,144,25.5,172,25,179,172,179,179,0,1
256,A355,2016,GADW,grass,grass,48.3246,-102.15554,t,158,24,172,16.5,193,172,190,190,0,1
257,A356,2016,GADW,grass,grass,48.3246,-102.15557,t,159,25,172,18,193,172,192,192,0,1
